name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,movement
ALBICOCCA - lolita,Emis Killa,"['italian hip hop', 'italian pop']",0.753,0.705,10,-5.083,1,0.288,0.372,0.0,0.0917,0.667,85.218,162733,4,walk,"[0.5, 0.6, 0.7]"
Léon (The Professional),Guè,"['italian hip hop', 'italian pop']",0.676,0.833,7,-4.464,1,0.153,0.327,6.84e-06,0.412,0.299,95.047,162519,4,walk,"[0.5, 0.6, 0.7]"
MI AMI O NO (feat. Capo Plaza),Giaime,"['italian hip hop', 'trap italiana']",0.718,0.776,8,-5.418,1,0.24,0.112,0.00243,0.144,0.41,91.158,145085,4,walk,"[0.5, 0.6, 0.7]"
CATTIVE INTENZIONI (feat. Salmo),Ernia,"['italian hip hop', 'italian pop', 'milan indie']",0.761,0.84,1,-3.278,1,0.275,0.174,0.0,0.129,0.579,98.055,168742,4,walk,"[0.5, 0.6, 0.7]"
Take 4,Shiva,"['italian hip hop', 'italian pop', 'trap italiana']",0.742,0.644,5,-4.42,0,0.197,0.187,0.0,0.163,0.32,124.033,170572,4,walk,"[0.5, 0.6, 0.7]"
"EVERYDAY (feat. Shiva, ANNA, Geolier)",Takagi & Ketra,"['italian adult pop', 'italian pop']",0.748,0.516,1,-6.77,0,0.1,0.499,0.0,0.127,0.465,78.038,190189,4,walk,"[0.5, 0.6, 0.7]"
LONELY,Geolier,"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",0.541,0.554,6,-8.52,0,0.386,0.314,0.0,0.162,0.521,132.139,208636,3,walk,"[0.5, 0.6, 0.7]"
COL CUORE IN GOLA - lords of dogtown,Emis Killa,"['italian hip hop', 'italian pop']",0.791,0.549,0,-10.561,0,0.0643,0.238,0.0,0.198,0.472,129.97,188640,4,walk,"[0.5, 0.6, 0.7]"
Prefissi,Guè,"['italian hip hop', 'italian pop']",0.536,0.8,5,-5.81,1,0.217,0.512,0.0,0.383,0.747,81.721,195662,4,walk,"[0.5, 0.6, 0.7]"
3 DI CUORI (feat. Lazza),ANNA,"['italian hip hop', 'italian pop']",0.465,0.844,5,-4.355,0,0.203,0.174,0.0,0.173,0.581,100.122,177600,4,walk,"[0.5, 0.6, 0.7]"
TUTTI HANNO PAURA (feat. Marco Mengoni),Ernia,"['italian hip hop', 'italian pop', 'milan indie']",0.698,0.802,3,-5.325,0,0.309,0.157,0.000174,0.158,0.238,92.922,212424,4,walk,"[0.5, 0.6, 0.7]"
Non lo Sai,Shiva,"['italian hip hop', 'italian pop', 'trap italiana']",0.585,0.678,0,-6.851,0,0.0888,0.106,0.0,0.139,0.162,127.959,228342,4,walk,"[0.5, 0.6, 0.7]"
Allenamento #2,Capo Plaza,"['italian hip hop', 'italian pop', 'trap italiana']",0.86,0.601,1,-7.247,0,0.509,0.406,0.0,0.103,0.0589,80.019,151422,4,walk,"[0.5, 0.6, 0.7]"
CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",0.716,0.737,6,-5.831,0,0.0578,0.115,0.0,0.0922,0.584,131.947,179864,4,walk,"[0.5, 0.6, 0.7]"
VISCERALE - closer,Emis Killa,"['italian hip hop', 'italian pop']",0.708,0.611,8,-6.019,1,0.331,0.292,0.0,0.106,0.221,84.43,184160,4,walk,"[0.5, 0.6, 0.7]"
Free (feat. Marracash & Rkomi),Guè,"['italian hip hop', 'italian pop']",0.682,0.648,0,-6.666,1,0.358,0.457,0.0,0.356,0.687,78.312,190587,4,walk,"[0.5, 0.6, 0.7]"
Raggi Del Sole,BLANCO,"['italian hip hop', 'italian pop']",0.674,0.861,9,-2.987,0,0.0582,0.144,0.0,0.2,0.635,130.055,191333,4,walk,"[0.5, 0.6, 0.7]"
BASTAVA LA METÀ (feat. Gaia & Guè),Ernia,"['italian hip hop', 'italian pop', 'milan indie']",0.654,0.766,2,-5.051,1,0.239,0.183,0.0,0.376,0.572,175.991,195476,4,walk,"[0.5, 0.6, 0.7]"
Naturale,Shiva,"['italian hip hop', 'italian pop', 'trap italiana']",0.709,0.536,5,-6.13,0,0.305,0.386,4.97e-06,0.138,0.324,94.508,166737,4,walk,"[0.5, 0.6, 0.7]"
"PAROLE (Sono solo parole) (feat. Noemi, Lazza & Tedua)",Drillionaire,['italian hip hop'],0.419,0.717,0,-6.149,0,0.194,0.0132,0.0,0.367,0.332,139.742,256512,4,walk,"[0.5, 0.6, 0.7]"
HERE I COME,Geolier,"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",0.446,0.654,9,-5.593,1,0.245,0.024,0.0,0.287,0.694,81.277,142691,4,walk,"[0.5, 0.6, 0.7]"
TOXIC - trainspotting,Emis Killa,"['italian hip hop', 'italian pop']",0.858,0.714,2,-6.467,1,0.0728,0.0936,3.28e-05,0.145,0.545,113.99,180000,4,walk,"[0.5, 0.6, 0.7]"
